id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2,COMP_M,1,1_01,Fog.Node.1,1,21,0,61,None,6.5,102.00004000000001,108.50004000000001,100.0,102.00004000000001
4,COMP_M,3,3_01,Fog.Node.3,3,23,0,73,None,6.7,102.00399999999999,108.704,100.0,102.00399999999999
7,COMP_M,6,6_01,Fog.Node.6,6,26,0,96,None,6.2,102.00399999999999,108.204,100.0,102.00399999999999
9,COMP_M,8,8_01,Fog.Node.8,8,28,0,109,None,6.4,102.00399999999999,108.404,100.0,102.00399999999999
12,COMP_M,11,11_01,Fog.Node.11,11,31,0,49,None,6.9,102.00399999999999,108.904,100.0,102.00399999999999
1,COMP_M,0,0_01,Fog.Node.0,0,20,0,55,None,6.0,103.00006000000002,109.00006000000002,100.0,103.00006000000002
3,COMP_M,2,2_01,Fog.Node.2,2,22,0,67,None,6.3,103.00006000000002,109.30006000000002,100.0,103.00006000000002
5,COMP_M,4,4_01,Fog.Node.4,4,24,0,81,None,6.9,103.00599999999999,109.90599999999999,100.0,103.00599999999999
6,COMP_M,5,5_01,Fog.Node.5,5,25,0,89,None,6.0,103.00599999999999,109.00599999999999,100.0,103.00599999999999
15,COMP_M,14,14_01,Fog.Node.14,14,34,0,64,None,6.8,103.00599999999999,109.80599999999998,100.0,103.00599999999999
11,COMP_M,10,10_01,Fog.Node.10,10,30,0,45,None,6.7,104.00601999999999,110.70602,100.0,104.00601999999999
8,COMP_M,7,7_01,Fog.Node.7,7,27,0,102,None,6.1,104.00601999999999,110.10601999999999,100.0,104.00601999999999
10,COMP_M,9,9_01,Fog.Node.9,9,29,0,176,None,6.1,104.00601999999999,110.10601999999999,100.0,104.00601999999999
14,COMP_M,13,13_01,Fog.Node.13,13,33,0,59,None,6.6,104.00799999999998,110.60799999999998,100.0,104.00799999999998
20,COMP_M,19,19_01,Fog.Node.19,19,39,0,148,None,6.9,104.00799999999998,110.90799999999999,100.0,104.00799999999998
16,COMP_M,15,15_01,Fog.Node.15,15,35,0,71,None,6.8,105.00801999999999,111.80801999999998,100.0,105.00801999999999
18,COMP_M,17,17_01,Fog.Node.17,17,37,0,81,None,6.6,105.00999999999998,111.60999999999997,100.0,105.00999999999998
13,COMP_M,12,12_01,Fog.Node.12,12,32,0,55,None,6.5,106.01001999999998,112.51001999999998,100.0,106.01001999999998
17,COMP_M,16,16_01,Fog.Node.16,16,36,0,76,None,6.7,106.01001999999998,112.71001999999999,100.0,106.01001999999998
19,COMP_M,18,18_01,Fog.Node.18,18,38,0,87,None,6.7,106.01199999999997,112.71199999999997,100.0,106.01199999999997
22,COMP_M,1,1_01,Fog.Node.1,1,21,0,61,None,6.5,202.00004,208.50004,200.0,202.00004
24,COMP_M,3,3_01,Fog.Node.3,3,23,0,73,None,6.7,202.00400000000002,208.704,200.0,202.00400000000002
27,COMP_M,6,6_01,Fog.Node.6,6,26,0,96,None,6.2,202.00400000000002,208.204,200.0,202.00400000000002
29,COMP_M,8,8_01,Fog.Node.8,8,28,0,109,None,6.4,202.00400000000002,208.40400000000002,200.0,202.00400000000002
32,COMP_M,11,11_01,Fog.Node.11,11,31,0,49,None,6.9,202.00400000000002,208.90400000000002,200.0,202.00400000000002
21,COMP_M,0,0_01,Fog.Node.0,0,20,0,55,None,6.0,203.00006000000002,209.00006000000002,200.0,203.00006000000002
23,COMP_M,2,2_01,Fog.Node.2,2,22,0,67,None,6.3,203.00006000000002,209.30006000000003,200.0,203.00006000000002
