id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,41,0,1.00002,Fog.Node.0,100,20,0
2,LINK,0,170,1,1.00002,Fog.Node.1,100,20,1
3,LINK,0,113,2,1.00002,Fog.Node.2,100,20,2
4,LINK,0,173,3,1.002,Fog.Node.3,100,2000,3
5,LINK,0,173,4,1.002,Fog.Node.4,100,2000,4
6,LINK,0,142,5,1.002,Fog.Node.5,100,2000,5
7,LINK,0,133,6,1.002,Fog.Node.6,100,2000,6
8,LINK,0,41,7,1.002,Fog.Node.7,100,2000,7
9,LINK,0,187,8,1.002,Fog.Node.8,100,2000,8
10,LINK,0,113,9,1.002,Fog.Node.9,100,2000,9
11,LINK,0,41,10,1.002,Fog.Node.10,100,2000,10
12,LINK,0,36,11,1.002,Fog.Node.11,100,2000,11
13,LINK,0,41,12,1.002,Fog.Node.12,100,2000,12
14,LINK,0,173,13,1.002,Fog.Node.13,100,2000,13
15,LINK,0,118,14,1.002,Fog.Node.14,100,2000,14
16,LINK,0,113,15,1.002,Fog.Node.15,100,2000,15
17,LINK,0,113,16,1.002,Fog.Node.16,100,2000,16
18,LINK,0,173,17,1.002,Fog.Node.17,100,2000,17
19,LINK,0,173,18,1.002,Fog.Node.18,100,2000,18
20,LINK,0,118,19,1.002,Fog.Node.19,100,2000,19
1,LINK,41,40,0,1.00002,Fog.Node.0,101.00002,20,17
2,LINK,170,61,1,1.00002,Fog.Node.1,101.00002,20,18
3,LINK,113,32,2,1.00002,Fog.Node.2,101.00002,20,19
4,LINK,173,73,3,1.002,Fog.Node.3,101.002,2000,14
6,LINK,142,60,5,1.002,Fog.Node.5,101.002,2000,15
7,LINK,133,96,6,1.002,Fog.Node.6,101.002,2000,16
9,LINK,187,109,8,1.002,Fog.Node.8,101.002,2000,17
12,LINK,36,49,11,1.002,Fog.Node.11,101.002,2000,18
15,LINK,118,33,14,1.002,Fog.Node.14,101.002,2000,19
1,LINK,40,55,0,1.00002,Fog.Node.0,102.00004000000001,20,17
3,LINK,32,67,2,1.00002,Fog.Node.2,102.00004000000001,20,18
8,LINK,41,45,7,1.002,Fog.Node.7,102.00202,2000,17
10,LINK,113,1,9,1.002,Fog.Node.9,102.00202,2000,18
5,LINK,173,81,4,1.002,Fog.Node.4,102.00399999999999,2000,11
20,LINK,118,2,19,1.002,Fog.Node.19,102.00399999999999,2000,12
6,LINK,60,89,5,1.002,Fog.Node.5,102.00399999999999,2000,13
15,LINK,33,64,14,1.002,Fog.Node.14,102.00399999999999,2000,14
11,LINK,41,45,10,1.002,Fog.Node.10,103.00402,2000,9
16,LINK,113,32,15,1.002,Fog.Node.15,103.00402,2000,10
8,LINK,45,102,7,1.002,Fog.Node.7,103.00402,2000,11
10,LINK,1,176,9,1.002,Fog.Node.9,103.00402,2000,12
14,LINK,173,59,13,1.002,Fog.Node.13,103.00599999999999,2000,8
20,LINK,2,148,19,1.002,Fog.Node.19,103.00599999999999,2000,9
13,LINK,41,40,12,1.002,Fog.Node.12,104.00601999999999,2000,4
17,LINK,113,1,16,1.002,Fog.Node.16,104.00601999999999,2000,5
16,LINK,32,71,15,1.002,Fog.Node.15,104.00601999999999,2000,6
18,LINK,173,81,17,1.002,Fog.Node.17,104.00799999999998,2000,4
13,LINK,40,55,12,1.002,Fog.Node.12,105.00801999999999,2000,2
17,LINK,1,76,16,1.002,Fog.Node.16,105.00801999999999,2000,3
19,LINK,173,87,18,1.002,Fog.Node.18,105.00999999999998,2000,2
21,LINK,0,41,0,1.00002,Fog.Node.0,200,20,0
22,LINK,0,170,1,1.00002,Fog.Node.1,200,20,1
23,LINK,0,113,2,1.00002,Fog.Node.2,200,20,2
24,LINK,0,173,3,1.002,Fog.Node.3,200,2000,3
25,LINK,0,173,4,1.002,Fog.Node.4,200,2000,4
26,LINK,0,142,5,1.002,Fog.Node.5,200,2000,5
27,LINK,0,133,6,1.002,Fog.Node.6,200,2000,6
28,LINK,0,41,7,1.002,Fog.Node.7,200,2000,7
29,LINK,0,187,8,1.002,Fog.Node.8,200,2000,8
30,LINK,0,113,9,1.002,Fog.Node.9,200,2000,9
31,LINK,0,41,10,1.002,Fog.Node.10,200,2000,10
32,LINK,0,36,11,1.002,Fog.Node.11,200,2000,11
33,LINK,0,41,12,1.002,Fog.Node.12,200,2000,12
34,LINK,0,173,13,1.002,Fog.Node.13,200,2000,13
35,LINK,0,118,14,1.002,Fog.Node.14,200,2000,14
36,LINK,0,113,15,1.002,Fog.Node.15,200,2000,15
37,LINK,0,113,16,1.002,Fog.Node.16,200,2000,16
38,LINK,0,173,17,1.002,Fog.Node.17,200,2000,17
39,LINK,0,173,18,1.002,Fog.Node.18,200,2000,18
40,LINK,0,118,19,1.002,Fog.Node.19,200,2000,19
21,LINK,41,40,0,1.00002,Fog.Node.0,201.00002,20,17
22,LINK,170,61,1,1.00002,Fog.Node.1,201.00002,20,18
23,LINK,113,32,2,1.00002,Fog.Node.2,201.00002,20,19
24,LINK,173,73,3,1.002,Fog.Node.3,201.002,2000,14
26,LINK,142,60,5,1.002,Fog.Node.5,201.002,2000,15
27,LINK,133,96,6,1.002,Fog.Node.6,201.002,2000,16
29,LINK,187,109,8,1.002,Fog.Node.8,201.002,2000,17
32,LINK,36,49,11,1.002,Fog.Node.11,201.002,2000,18
35,LINK,118,33,14,1.002,Fog.Node.14,201.002,2000,19
