id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,41,0,1.00002,Fog.Node.0,100,20,0
2,LINK,0,170,1,1.00002,Fog.Node.1,100,20,1
3,LINK,0,113,2,1.00002,Fog.Node.2,100,20,2
4,LINK,0,173,3,1.00002,Fog.Node.3,100,20,3
5,LINK,0,173,4,1.00002,Fog.Node.4,100,20,4
6,LINK,0,142,5,1.00002,Fog.Node.5,100,20,5
7,LINK,0,133,6,1.00002,Fog.Node.6,100,20,6
8,LINK,0,41,7,1.00002,Fog.Node.7,100,20,7
9,LINK,0,187,8,1.00002,Fog.Node.8,100,20,8
10,LINK,0,113,9,1.00002,Fog.Node.9,100,20,9
1,LINK,41,40,0,1.00002,Fog.Node.0,101.00002,20,3
2,LINK,170,61,1,1.00002,Fog.Node.1,101.00002,20,4
3,LINK,113,32,2,1.00002,Fog.Node.2,101.00002,20,5
4,LINK,173,73,3,1.00002,Fog.Node.3,101.00002,20,6
6,LINK,142,60,5,1.00002,Fog.Node.5,101.00002,20,7
7,LINK,133,96,6,1.00002,Fog.Node.6,101.00002,20,8
9,LINK,187,109,8,1.00002,Fog.Node.8,101.00002,20,9
5,LINK,173,81,4,1.00002,Fog.Node.4,102.00004000000001,20,0
8,LINK,41,45,7,1.00002,Fog.Node.7,102.00004000000001,20,1
10,LINK,113,1,9,1.00002,Fog.Node.9,102.00004000000001,20,2
1,LINK,40,55,0,1.00002,Fog.Node.0,102.00004000000001,20,3
3,LINK,32,67,2,1.00002,Fog.Node.2,102.00004000000001,20,4
6,LINK,60,89,5,1.00002,Fog.Node.5,102.00004000000001,20,5
8,LINK,45,102,7,1.00002,Fog.Node.7,103.00006000000002,20,0
10,LINK,1,176,9,1.00002,Fog.Node.9,103.00006000000002,20,1
11,LINK,0,41,0,1.00002,Fog.Node.0,200,20,0
12,LINK,0,170,1,1.00002,Fog.Node.1,200,20,1
13,LINK,0,113,2,1.00002,Fog.Node.2,200,20,2
14,LINK,0,173,3,1.00002,Fog.Node.3,200,20,3
15,LINK,0,173,4,1.00002,Fog.Node.4,200,20,4
16,LINK,0,142,5,1.00002,Fog.Node.5,200,20,5
17,LINK,0,133,6,1.00002,Fog.Node.6,200,20,6
18,LINK,0,41,7,1.00002,Fog.Node.7,200,20,7
19,LINK,0,187,8,1.00002,Fog.Node.8,200,20,8
20,LINK,0,113,9,1.00002,Fog.Node.9,200,20,9
11,LINK,41,40,0,1.00002,Fog.Node.0,201.00002,20,3
12,LINK,170,61,1,1.00002,Fog.Node.1,201.00002,20,4
13,LINK,113,32,2,1.00002,Fog.Node.2,201.00002,20,5
14,LINK,173,73,3,1.00002,Fog.Node.3,201.00002,20,6
16,LINK,142,60,5,1.00002,Fog.Node.5,201.00002,20,7
17,LINK,133,96,6,1.00002,Fog.Node.6,201.00002,20,8
19,LINK,187,109,8,1.00002,Fog.Node.8,201.00002,20,9
15,LINK,173,81,4,1.00002,Fog.Node.4,202.00004,20,0
18,LINK,41,45,7,1.00002,Fog.Node.7,202.00004,20,1
20,LINK,113,1,9,1.00002,Fog.Node.9,202.00004,20,2
11,LINK,40,55,0,1.00002,Fog.Node.0,202.00004,20,3
13,LINK,32,67,2,1.00002,Fog.Node.2,202.00004,20,4
16,LINK,60,89,5,1.00002,Fog.Node.5,202.00004,20,5
18,LINK,45,102,7,1.00002,Fog.Node.7,203.00006000000002,20,0
20,LINK,1,176,9,1.00002,Fog.Node.9,203.00006000000002,20,1
21,LINK,0,125,0,1.00002,Fog.Node.0,300,20,0
22,LINK,0,36,1,1.00002,Fog.Node.1,300,20,1
23,LINK,0,133,2,1.00002,Fog.Node.2,300,20,2
24,LINK,0,36,3,1.00002,Fog.Node.3,300,20,3
25,LINK,0,125,4,1.00002,Fog.Node.4,300,20,4
26,LINK,0,41,5,1.00002,Fog.Node.5,300,20,5
27,LINK,0,187,6,1.00002,Fog.Node.6,300,20,6
28,LINK,0,36,7,1.00002,Fog.Node.7,300,20,7
29,LINK,0,125,8,1.00002,Fog.Node.8,300,20,8
30,LINK,0,36,9,1.00002,Fog.Node.9,300,20,9
21,LINK,125,180,0,1.00002,Fog.Node.0,301.00002,20,5
22,LINK,36,155,1,1.00002,Fog.Node.1,301.00002,20,6
23,LINK,133,28,2,1.00002,Fog.Node.2,301.00002,20,7
26,LINK,41,40,5,1.00002,Fog.Node.5,301.00002,20,8
24,LINK,36,157,3,1.00002,Fog.Node.3,302.00004,20,3
25,LINK,125,180,4,1.00002,Fog.Node.4,302.00004,20,4
22,LINK,155,74,1,1.00002,Fog.Node.1,302.00004,20,5
23,LINK,28,185,2,1.00002,Fog.Node.2,302.00004,20,6
28,LINK,36,49,7,1.00002,Fog.Node.7,303.00006,20,1
29,LINK,125,35,8,1.00002,Fog.Node.8,303.00006,20,2
24,LINK,157,120,3,1.00002,Fog.Node.3,303.00006,20,3
30,LINK,36,155,9,1.00002,Fog.Node.9,304.00008,20,0
28,LINK,49,105,7,1.00002,Fog.Node.7,304.00008,20,1
29,LINK,35,44,8,1.00002,Fog.Node.8,304.00008,20,2
30,LINK,155,74,9,1.00002,Fog.Node.9,305.00010000000003,20,0
31,LINK,0,187,0,1.00002,Fog.Node.0,400,20,0
32,LINK,0,187,1,1.00002,Fog.Node.1,400,20,1
33,LINK,0,36,2,1.00002,Fog.Node.2,400,20,2
