id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,0,0_01,Fog.Node.0,0,11,55,45,None,0.3,203.00006000000002,203.30006000000003,200.0,203.00006000000002
2,COMP_M,1,1_01,Fog.Node.1,1,12,61,49,None,0.3,203.00006000000002,203.30006000000003,200.0,203.00006000000002
5,COMP_M,4,4_01,Fog.Node.4,4,15,81,64,None,0.3,203.00006000000002,203.30006000000003,200.0,203.00006000000002
10,COMP_M,9,9_01,Fog.Node.9,9,20,176,148,None,0.3,203.00006000000002,203.30006000000003,200.0,203.00006000000002
3,COMP_M,2,2_01,Fog.Node.2,2,13,67,55,None,0.3,204.00008000000003,204.30008000000004,200.0,204.00008000000003
4,COMP_M,3,3_01,Fog.Node.3,3,14,73,59,None,0.3,204.00008000000003,204.30008000000004,200.0,204.00008000000003
6,COMP_M,5,5_01,Fog.Node.5,5,16,89,71,None,0.3,204.00008000000003,204.30008000000004,200.0,204.00008000000003
7,COMP_M,6,6_01,Fog.Node.6,6,17,96,76,None,0.3,204.00008000000003,204.30008000000004,200.0,204.00008000000003
8,COMP_M,7,7_01,Fog.Node.7,7,18,102,81,None,0.3,204.00008000000003,204.30008000000004,200.0,204.00008000000003
9,COMP_M,8,8_01,Fog.Node.8,8,19,109,87,None,0.3,204.00008000000003,204.30008000000004,200.0,204.00008000000003
11,COMP_M,0,0_01,Fog.Node.0,0,11,55,45,None,0.3,403.00006,403.30006000000003,400.0,403.00006
12,COMP_M,1,1_01,Fog.Node.1,1,12,61,49,None,0.3,403.00006,403.30006000000003,400.0,403.00006
15,COMP_M,4,4_01,Fog.Node.4,4,15,81,64,None,0.3,403.00006,403.30006000000003,400.0,403.00006
20,COMP_M,9,9_01,Fog.Node.9,9,20,176,148,None,0.3,403.00006,403.30006000000003,400.0,403.00006
13,COMP_M,2,2_01,Fog.Node.2,2,13,67,55,None,0.3,404.00008,404.30008000000004,400.0,404.00008
14,COMP_M,3,3_01,Fog.Node.3,3,14,73,59,None,0.3,404.00008,404.30008000000004,400.0,404.00008
16,COMP_M,5,5_01,Fog.Node.5,5,16,89,71,None,0.3,404.00008,404.30008000000004,400.0,404.00008
17,COMP_M,6,6_01,Fog.Node.6,6,17,96,76,None,0.3,404.00008,404.30008000000004,400.0,404.00008
18,COMP_M,7,7_01,Fog.Node.7,7,18,102,81,None,0.3,404.00008,404.30008000000004,400.0,404.00008
19,COMP_M,8,8_01,Fog.Node.8,8,19,109,87,None,0.3,404.00008,404.30008000000004,400.0,404.00008
21,COMP_M,4,4_01,Fog.Node.4,22,15,185,64,None,0.3,534.0000799999998,534.3000799999998,530.0,534.0000799999998
22,COMP_M,2,2_01,Fog.Node.2,23,13,187,55,None,0.3,534.0000799999998,534.3000799999998,530.0,534.0000799999998
23,COMP_M,4,4_01,Fog.Node.4,22,15,185,64,None,0.3,564.0000799999998,564.3000799999998,560.0,564.0000799999998
24,COMP_M,2,2_01,Fog.Node.2,23,13,187,55,None,0.3,564.0000799999998,564.3000799999998,560.0,564.0000799999998
25,COMP_M,4,4_01,Fog.Node.4,22,15,185,64,None,0.3,594.0000799999998,594.3000799999998,590.0,594.0000799999998
26,COMP_M,2,2_01,Fog.Node.2,23,13,187,55,None,0.3,594.0000799999998,594.3000799999998,590.0,594.0000799999998
27,COMP_M,0,0_01,Fog.Node.0,0,11,55,45,None,0.3,603.0000599999998,603.3000599999998,600.0,603.0000599999998
28,COMP_M,1,1_01,Fog.Node.1,1,12,61,49,None,0.3,603.0000599999998,603.3000599999998,600.0,603.0000599999998
31,COMP_M,4,4_01,Fog.Node.4,4,15,81,64,None,0.3,603.0000599999998,603.3000599999998,600.0,603.0000599999998
36,COMP_M,9,9_01,Fog.Node.9,9,20,176,148,None,0.3,603.0000599999998,603.3000599999998,600.0,603.0000599999998
29,COMP_M,2,2_01,Fog.Node.2,2,13,67,55,None,0.3,604.0000799999998,604.3000799999998,600.0,604.0000799999998
30,COMP_M,3,3_01,Fog.Node.3,3,14,73,59,None,0.3,604.0000799999998,604.3000799999998,600.0,604.0000799999998
32,COMP_M,5,5_01,Fog.Node.5,5,16,89,71,None,0.3,604.0000799999998,604.3000799999998,600.0,604.0000799999998
33,COMP_M,6,6_01,Fog.Node.6,6,17,96,76,None,0.3,604.0000799999998,604.3000799999998,600.0,604.0000799999998
34,COMP_M,7,7_01,Fog.Node.7,7,18,102,81,None,0.3,604.0000799999998,604.3000799999998,600.0,604.0000799999998
35,COMP_M,8,8_01,Fog.Node.8,8,19,109,87,None,0.3,604.0000799999998,604.3000799999998,600.0,604.0000799999998
37,COMP_M,4,4_01,Fog.Node.4,22,15,185,64,None,0.3,624.0000799999998,624.3000799999998,620.0,624.0000799999998
38,COMP_M,2,2_01,Fog.Node.2,23,13,187,55,None,0.3,624.0000799999998,624.3000799999998,620.0,624.0000799999998
39,COMP_M,4,4_01,Fog.Node.4,24,15,53,64,None,0.3,634.0000799999998,634.3000799999998,630.0,634.0000799999998
40,COMP_M,4,4_01,Fog.Node.4,22,15,185,64,None,0.3,654.0000799999998,654.3000799999998,650.0,654.0000799999998
41,COMP_M,2,2_01,Fog.Node.2,23,13,187,55,None,0.3,654.0000799999998,654.3000799999998,650.0,654.0000799999998
42,COMP_M,4,4_01,Fog.Node.4,24,15,53,64,None,0.3,664.0000799999998,664.3000799999998,660.0,664.0000799999998
43,COMP_M,4,4_01,Fog.Node.4,22,15,185,64,None,0.3,684.0000799999998,684.3000799999998,680.0,684.0000799999998
44,COMP_M,2,2_01,Fog.Node.2,23,13,187,55,None,0.3,684.0000799999998,684.3000799999998,680.0,684.0000799999998
45,COMP_M,4,4_01,Fog.Node.4,24,15,53,64,None,0.3,694.0000799999998,694.3000799999998,690.0,694.0000799999998
46,COMP_M,4,4_01,Fog.Node.4,22,15,185,64,None,0.3,714.0000799999998,714.3000799999998,710.0,714.0000799999998
47,COMP_M,2,2_01,Fog.Node.2,23,13,187,55,None,0.3,714.0000799999998,714.3000799999998,710.0,714.0000799999998
48,COMP_M,4,4_01,Fog.Node.4,24,15,53,64,None,0.3,724.0000799999998,724.3000799999998,720.0,724.0000799999998
49,COMP_M,0,0_01,Fog.Node.0,25,11,105,45,None,0.3,734.0000799999998,734.3000799999998,730.0,734.0000799999998
50,COMP_M,4,4_01,Fog.Node.4,22,15,185,64,None,0.3,744.0000799999998,744.3000799999998,740.0,744.0000799999998
51,COMP_M,2,2_01,Fog.Node.2,23,13,187,55,None,0.3,744.0000799999998,744.3000799999998,740.0,744.0000799999998
52,COMP_M,4,4_01,Fog.Node.4,24,15,53,64,None,0.3,754.0000799999998,754.3000799999998,750.0,754.0000799999998
53,COMP_M,0,0_01,Fog.Node.0,25,11,105,45,None,0.3,764.0000799999998,764.3000799999998,760.0,764.0000799999998
54,COMP_M,4,4_01,Fog.Node.4,22,15,185,64,None,0.3,774.0000799999998,774.3000799999998,770.0,774.0000799999998
55,COMP_M,2,2_01,Fog.Node.2,23,13,187,55,None,0.3,774.0000799999998,774.3000799999998,770.0,774.0000799999998
56,COMP_M,4,4_01,Fog.Node.4,24,15,53,64,None,0.3,784.0000799999998,784.3000799999998,780.0,784.0000799999998
57,COMP_M,0,0_01,Fog.Node.0,25,11,105,45,None,0.3,794.0000799999998,794.3000799999998,790.0,794.0000799999998
58,COMP_M,0,0_01,Fog.Node.0,0,11,55,45,None,0.3,803.0000599999998,803.3000599999998,800.0,803.0000599999998
59,COMP_M,1,1_01,Fog.Node.1,1,12,61,49,None,0.3,803.0000599999998,803.3000599999998,800.0,803.0000599999998
