id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,185,11,4,1.00002,Fog.Node.4,155.0,20,0
2,LINK,187,38,2,1.00002,Fog.Node.2,155.0,20,1
1,LINK,11,51,4,1.00002,Fog.Node.4,156.00002,20,0
2,LINK,38,32,2,1.00002,Fog.Node.2,156.00002,20,1
1,LINK,51,81,4,1.00002,Fog.Node.4,157.00004,20,0
2,LINK,32,67,2,1.00002,Fog.Node.2,157.00004,20,1
3,LINK,53,18,4,1.00002,Fog.Node.4,180.0,20,0
3,LINK,18,81,4,1.00002,Fog.Node.4,181.00002,20,0
4,LINK,185,11,4,1.00002,Fog.Node.4,185.0,20,0
5,LINK,187,38,2,1.00002,Fog.Node.2,185.0,20,1
4,LINK,11,51,4,1.00002,Fog.Node.4,186.00002,20,0
5,LINK,38,32,2,1.00002,Fog.Node.2,186.00002,20,1
4,LINK,51,81,4,1.00002,Fog.Node.4,187.00004,20,0
5,LINK,32,67,2,1.00002,Fog.Node.2,187.00004,20,1
6,LINK,0,41,0,1.00002,Fog.Node.0,200,20,0
7,LINK,0,170,1,1.0005,Fog.Node.1,200,500,1
8,LINK,0,113,2,1.00002,Fog.Node.2,200,20,2
9,LINK,0,173,3,1.00002,Fog.Node.3,200,20,3
10,LINK,0,173,4,1.00002,Fog.Node.4,200,20,4
11,LINK,0,142,5,1.00002,Fog.Node.5,200,20,5
12,LINK,0,133,6,1.00002,Fog.Node.6,200,20,6
13,LINK,0,41,7,1.00002,Fog.Node.7,200,20,7
14,LINK,0,187,8,1.00002,Fog.Node.8,200,20,8
15,LINK,0,113,9,1.00002,Fog.Node.9,200,20,9
6,LINK,41,40,0,1.00002,Fog.Node.0,201.00002,20,4
8,LINK,113,32,2,1.00002,Fog.Node.2,201.00002,20,5
9,LINK,173,73,3,1.00002,Fog.Node.3,201.00002,20,6
11,LINK,142,60,5,1.00002,Fog.Node.5,201.00002,20,7
12,LINK,133,96,6,1.00002,Fog.Node.6,201.00002,20,8
14,LINK,187,109,8,1.00002,Fog.Node.8,201.00002,20,9
7,LINK,170,61,1,1.0005,Fog.Node.1,201.0005,500,9
10,LINK,173,81,4,1.00002,Fog.Node.4,202.00004,20,1
13,LINK,41,45,7,1.00002,Fog.Node.7,202.00004,20,2
15,LINK,113,1,9,1.00002,Fog.Node.9,202.00004,20,3
6,LINK,40,55,0,1.00002,Fog.Node.0,202.00004,20,4
8,LINK,32,67,2,1.00002,Fog.Node.2,202.00004,20,5
11,LINK,60,89,5,1.00002,Fog.Node.5,202.00004,20,6
13,LINK,45,102,7,1.00002,Fog.Node.7,203.00006000000002,20,0
15,LINK,1,176,9,1.00002,Fog.Node.9,203.00006000000002,20,1
16,LINK,105,78,0,1.00002,Fog.Node.0,205.0,20,0
16,LINK,78,55,0,1.00002,Fog.Node.0,206.00002,20,0
17,LINK,53,18,4,1.00002,Fog.Node.4,210.0,20,0
17,LINK,18,81,4,1.00002,Fog.Node.4,211.00002,20,0
18,LINK,185,11,4,1.00002,Fog.Node.4,215.0,20,0
19,LINK,187,38,2,1.00002,Fog.Node.2,215.0,20,1
18,LINK,11,51,4,1.00002,Fog.Node.4,216.00002,20,0
19,LINK,38,32,2,1.00002,Fog.Node.2,216.00002,20,1
18,LINK,51,81,4,1.00002,Fog.Node.4,217.00004,20,0
19,LINK,32,67,2,1.00002,Fog.Node.2,217.00004,20,1
20,LINK,105,78,0,1.00002,Fog.Node.0,235.0,20,0
20,LINK,78,55,0,1.00002,Fog.Node.0,236.00002,20,0
21,LINK,53,18,4,1.00002,Fog.Node.4,240.0,20,0
21,LINK,18,81,4,1.00002,Fog.Node.4,241.00002,20,0
22,LINK,185,11,4,1.00002,Fog.Node.4,245.0,20,0
23,LINK,187,38,2,1.00002,Fog.Node.2,245.0,20,1
22,LINK,11,51,4,1.00002,Fog.Node.4,246.00002,20,0
23,LINK,38,32,2,1.00002,Fog.Node.2,246.00002,20,1
22,LINK,51,81,4,1.00002,Fog.Node.4,247.00004,20,0
23,LINK,32,67,2,1.00002,Fog.Node.2,247.00004,20,1
24,LINK,31,189,7,1.00002,Fog.Node.7,255.0,20,0
24,LINK,189,102,7,1.00002,Fog.Node.7,256.00002,20,0
25,LINK,105,78,0,1.00002,Fog.Node.0,265.0,20,0
25,LINK,78,55,0,1.00002,Fog.Node.0,266.00002,20,0
26,LINK,53,18,4,1.00002,Fog.Node.4,270.0,20,0
26,LINK,18,81,4,1.00002,Fog.Node.4,271.00002,20,0
27,LINK,185,11,4,1.00002,Fog.Node.4,275.0,20,0
28,LINK,187,38,2,1.00002,Fog.Node.2,275.0,20,1
27,LINK,11,51,4,1.00002,Fog.Node.4,276.00002,20,0
28,LINK,38,32,2,1.00002,Fog.Node.2,276.00002,20,1
27,LINK,51,81,4,1.00002,Fog.Node.4,277.00004,20,0
28,LINK,32,67,2,1.00002,Fog.Node.2,277.00004,20,1
29,LINK,92,159,3,1.00002,Fog.Node.3,280.0,20,0
29,LINK,159,73,3,1.00002,Fog.Node.3,281.00002,20,0
30,LINK,31,189,7,1.00002,Fog.Node.7,285.0,20,0
30,LINK,189,102,7,1.00002,Fog.Node.7,286.00002,20,0
31,LINK,105,78,0,1.00002,Fog.Node.0,295.0,20,0
31,LINK,78,55,0,1.00002,Fog.Node.0,296.00002,20,0
32,LINK,53,18,4,1.00002,Fog.Node.4,300.0,20,0
32,LINK,18,81,4,1.00002,Fog.Node.4,301.00002,20,0
33,LINK,187,38,2,1.00002,Fog.Node.2,305.0,20,0
33,LINK,38,32,2,1.00002,Fog.Node.2,306.00002,20,0
33,LINK,32,67,2,1.00002,Fog.Node.2,307.00004,20,0
34,LINK,92,159,3,1.00002,Fog.Node.3,310.0,20,0
34,LINK,159,73,3,1.00002,Fog.Node.3,311.00002,20,0
35,LINK,31,189,7,1.00002,Fog.Node.7,315.0,20,0
35,LINK,189,102,7,1.00002,Fog.Node.7,316.00002,20,0
36,LINK,105,78,0,1.00002,Fog.Node.0,325.0,20,0
36,LINK,78,55,0,1.00002,Fog.Node.0,326.00002,20,0
37,LINK,53,18,4,1.00002,Fog.Node.4,330.0,20,0
37,LINK,18,81,4,1.00002,Fog.Node.4,331.00002,20,0
38,LINK,187,38,2,1.00002,Fog.Node.2,335.0,20,0
38,LINK,38,32,2,1.00002,Fog.Node.2,336.00002,20,0
38,LINK,32,67,2,1.00002,Fog.Node.2,337.00004,20,0
39,LINK,92,159,3,1.00002,Fog.Node.3,340.0,20,0
39,LINK,159,73,3,1.00002,Fog.Node.3,341.00002,20,0
40,LINK,31,189,7,1.00002,Fog.Node.7,345.0,20,0
40,LINK,189,102,7,1.00002,Fog.Node.7,346.00002,20,0
41,LINK,105,78,0,1.00002,Fog.Node.0,355.0,20,0
41,LINK,78,55,0,1.00002,Fog.Node.0,356.00002,20,0
42,LINK,53,18,4,1.00002,Fog.Node.4,360.0,20,0
42,LINK,18,81,4,1.00002,Fog.Node.4,361.00002,20,0
43,LINK,187,38,2,1.00002,Fog.Node.2,365.0,20,0
43,LINK,38,32,2,1.00002,Fog.Node.2,366.00002,20,0
43,LINK,32,67,2,1.00002,Fog.Node.2,367.00004,20,0
44,LINK,92,159,3,1.00002,Fog.Node.3,370.0,20,0
44,LINK,159,73,3,1.00002,Fog.Node.3,371.00002,20,0
45,LINK,31,189,7,1.00002,Fog.Node.7,375.0,20,0
45,LINK,189,102,7,1.00002,Fog.Node.7,376.00002,20,0
46,LINK,105,78,0,1.00002,Fog.Node.0,385.0,20,0
46,LINK,78,55,0,1.00002,Fog.Node.0,386.00002,20,0
47,LINK,53,18,4,1.00002,Fog.Node.4,390.0,20,0
47,LINK,18,81,4,1.00002,Fog.Node.4,391.00002,20,0
48,LINK,187,38,2,1.00002,Fog.Node.2,395.0,20,0
48,LINK,38,32,2,1.00002,Fog.Node.2,396.00002,20,0
48,LINK,32,67,2,1.00002,Fog.Node.2,397.00004,20,0
49,LINK,0,41,0,1.00002,Fog.Node.0,400,20,0
50,LINK,0,170,1,1.0005,Fog.Node.1,400,500,1
51,LINK,0,113,2,1.00002,Fog.Node.2,400,20,2
52,LINK,0,173,3,1.00002,Fog.Node.3,400,20,3
53,LINK,0,173,4,1.00002,Fog.Node.4,400,20,4
54,LINK,0,142,5,1.00002,Fog.Node.5,400,20,5
55,LINK,0,133,6,1.00002,Fog.Node.6,400,20,6
56,LINK,0,41,7,1.00002,Fog.Node.7,400,20,7
57,LINK,0,187,8,1.00002,Fog.Node.8,400,20,8
58,LINK,0,113,9,1.00002,Fog.Node.9,400,20,9
59,LINK,92,159,3,1.00002,Fog.Node.3,400,20,10
49,LINK,41,40,0,1.00002,Fog.Node.0,401.00002,20,4
51,LINK,113,32,2,1.00002,Fog.Node.2,401.00002,20,5
52,LINK,173,73,3,1.00002,Fog.Node.3,401.00002,20,6
54,LINK,142,60,5,1.00002,Fog.Node.5,401.00002,20,7
55,LINK,133,96,6,1.00002,Fog.Node.6,401.00002,20,8
57,LINK,187,109,8,1.00002,Fog.Node.8,401.00002,20,9
59,LINK,159,73,3,1.00002,Fog.Node.3,401.00002,20,10
50,LINK,170,61,1,1.0005,Fog.Node.1,401.0005,500,10
53,LINK,173,81,4,1.00002,Fog.Node.4,402.00004,20,1
56,LINK,41,45,7,1.00002,Fog.Node.7,402.00004,20,2
58,LINK,113,1,9,1.00002,Fog.Node.9,402.00004,20,3
49,LINK,40,55,0,1.00002,Fog.Node.0,402.00004,20,4
51,LINK,32,67,2,1.00002,Fog.Node.2,402.00004,20,5
54,LINK,60,89,5,1.00002,Fog.Node.5,402.00004,20,6
56,LINK,45,102,7,1.00002,Fog.Node.7,403.00006,20,0
58,LINK,1,176,9,1.00002,Fog.Node.9,403.00006,20,1
60,LINK,31,189,7,1.00002,Fog.Node.7,405.0,20,0
61,LINK,9,176,9,1.00002,Fog.Node.9,405.0,20,1
60,LINK,189,102,7,1.00002,Fog.Node.7,406.00002,20,0
62,LINK,105,78,0,1.00002,Fog.Node.0,415.0,20,0
62,LINK,78,55,0,1.00002,Fog.Node.0,416.00002,20,0
63,LINK,53,18,4,1.00002,Fog.Node.4,420.0,20,0
63,LINK,18,81,4,1.00002,Fog.Node.4,421.00002,20,0
64,LINK,187,38,2,1.00002,Fog.Node.2,425.0,20,0
64,LINK,38,32,2,1.00002,Fog.Node.2,426.00002,20,0
64,LINK,32,67,2,1.00002,Fog.Node.2,427.00004,20,0
65,LINK,92,159,3,1.00002,Fog.Node.3,430.0,20,0
66,LINK,59,193,5,1.00002,Fog.Node.5,430.0,20,1
65,LINK,159,73,3,1.00002,Fog.Node.3,431.00002,20,0
66,LINK,193,89,5,1.00002,Fog.Node.5,431.00002,20,1
67,LINK,31,189,7,1.00002,Fog.Node.7,435.0,20,0
68,LINK,9,176,9,1.00002,Fog.Node.9,435.0,20,1
67,LINK,189,102,7,1.00002,Fog.Node.7,436.00002,20,0
69,LINK,105,78,0,1.00002,Fog.Node.0,445.0,20,0
69,LINK,78,55,0,1.00002,Fog.Node.0,446.00002,20,0
70,LINK,53,18,4,1.00002,Fog.Node.4,450.0,20,0
70,LINK,18,81,4,1.00002,Fog.Node.4,451.00002,20,0
71,LINK,187,38,2,1.00002,Fog.Node.2,455.0,20,0
72,LINK,93,170,1,1.0005,Fog.Node.1,455.0,500,1
71,LINK,38,32,2,1.00002,Fog.Node.2,456.00002,20,1
72,LINK,170,61,1,1.0005,Fog.Node.1,456.0005,500,1
71,LINK,32,67,2,1.00002,Fog.Node.2,457.00004,20,1
73,LINK,92,159,3,1.00002,Fog.Node.3,460.0,20,0
74,LINK,59,193,5,1.00002,Fog.Node.5,460.0,20,1
73,LINK,159,73,3,1.00002,Fog.Node.3,461.00002,20,0
74,LINK,193,89,5,1.00002,Fog.Node.5,461.00002,20,1
75,LINK,31,189,7,1.00002,Fog.Node.7,465.0,20,0
76,LINK,9,176,9,1.00002,Fog.Node.9,465.0,20,1
75,LINK,189,102,7,1.00002,Fog.Node.7,466.00002,20,0
77,LINK,105,78,0,1.00002,Fog.Node.0,475.0,20,0
77,LINK,78,55,0,1.00002,Fog.Node.0,476.00002,20,0
78,LINK,53,18,4,1.00002,Fog.Node.4,480.0,20,0
78,LINK,18,81,4,1.00002,Fog.Node.4,481.00002,20,0
79,LINK,187,38,2,1.00002,Fog.Node.2,485.0,20,0
80,LINK,93,170,1,1.0005,Fog.Node.1,485.0,500,1
79,LINK,38,32,2,1.00002,Fog.Node.2,486.00002,20,1
80,LINK,170,61,1,1.0005,Fog.Node.1,486.0005,500,1
79,LINK,32,67,2,1.00002,Fog.Node.2,487.00004,20,1
81,LINK,92,159,3,1.00002,Fog.Node.3,490.0,20,0
82,LINK,59,193,5,1.00002,Fog.Node.5,490.0,20,1
81,LINK,159,73,3,1.00002,Fog.Node.3,491.00002,20,0
82,LINK,193,89,5,1.00002,Fog.Node.5,491.00002,20,1
83,LINK,31,189,7,1.00002,Fog.Node.7,495.0,20,0
84,LINK,9,176,9,1.00002,Fog.Node.9,495.0,20,1
83,LINK,189,102,7,1.00002,Fog.Node.7,496.00002,20,0
